,text,date
90,Please RT! Have you seen Max/ Maximus? #missing #lost #pet in #Schenectady #NY 12305 https://t.co/tJL1KrbuJo https://t.co/UHCP498LDS,2017-04-23 11:29:46+00:00
91,RT @PawBoost: Please RT! Have you seen Ruby? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/ZnIs2BfwZG https://t.co/hSTKVgjj1q,2017-04-16 03:09:30+00:00
92,Please RT! Have you seen Ruby? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/ZnIs2BfwZG https://t.co/hSTKVgjj1q,2017-04-15 17:14:52+00:00
93,RT @PawBoost: Please RT! Have you seen Baby? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/XrIc0Iln5p https://t.co/fkg5lKSkmx,2017-03-19 23:39:05+00:00
94,RT @PawBoost: Please RT! Have you seen Baby? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/XrIc0Iln5p https://t.co/fkg5lKSkmx,2017-03-19 21:24:02+00:00
95,RT @PawBoost: Please RT! Have you seen Baby? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/XrIc0Iln5p https://t.co/fkg5lKSkmx,2017-03-19 20:54:00+00:00
96,Please RT! Have you seen Baby? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/XrIc0Iln5p https://t.co/fkg5lKSkmx,2017-03-19 20:47:07+00:00
97,RT @PawBoost: Please RT! Have you seen Timmy? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/3Uwa1syX5W https://t.co/XngUKaVTxQ,2017-03-14 23:20:56+00:00
98,RT @PawBoost: Please RT! Have you seen Timmy? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/3Uwa1syX5W https://t.co/XngUKaVTxQ,2017-03-14 21:49:53+00:00
99,Please RT! Have you seen Timmy? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/3Uwa1syX5W https://t.co/XngUKaVTxQ,2017-03-14 21:43:25+00:00
100,RT @PawBoost: Please RT! Have you seen Midnyt Or Salem? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/wq5yfiPdyU https://t.co/…,2017-02-26 20:07:59+00:00
101,Please RT! Have you seen Midnyt Or Salem? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/wq5yfiPdyU https://t.co/MKdBW1trby,2017-02-26 17:45:06+00:00
102,RT @PawBoost: Please RT! Have you seen Frankie? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/SIDl5R8H6O https://t.co/EsTjilv1…,2017-02-19 20:33:35+00:00
103,RT @PawBoost: Please RT! Have you seen Frankie? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/SIDl5R8H6O https://t.co/EsTjilv1…,2017-02-19 20:24:34+00:00
104,RT @PawBoost: Please RT! Have you seen Frankie? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/SIDl5R8H6O https://t.co/EsTjilv1…,2017-02-19 20:24:06+00:00
105,Please RT! Have you seen Frankie? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/SIDl5R8H6O https://t.co/EsTjilv1vA,2017-02-18 21:41:28+00:00
106,Please RT! Have you seen Cabana? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/7bu6Bvq3Hj https://t.co/sUR3uUTqjq,2017-01-22 17:48:40+00:00
107,Please RT! Have you seen Chuck Norris? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/QzKwYi2FEa https://t.co/5BzOGl9V4m,2017-01-13 15:45:57+00:00
108,"STREAM “SONG NO. 11” NOW ON ALL PLATFORMS.

#newmusic #spotify #tidal #applemusic #cdbaby #localmusic #single #debut #upstateny #schenectady #albany #troy #capitalregion #newyork #artist #vocalist #singer #songwriter #unsigned #streaming #guitar #indie #folk #sad #pop https://t.co/QDZfo7yb40",2019-06-01 04:09:26+00:00
109,@schafferheights One of our residents enjoying a nice quiet day. #schafferheights #schenectady #newyork #propertymanagement #unitedgroupofcompanies #relaxation https://t.co/CfdDaMrqXM,2018-06-08 19:51:16+00:00
110,What better way to celebrate national relaxation day than with a massage! #seniorliving #relaxation #schenectady https://t.co/AHrnKjM5RX,2017-08-15 18:13:56+00:00
111,"What If I told You Where to Get #ChronicPain Therapy? Imagine Feeling 100%, instead of 45%.  - Check out the #Podcast at https://t.co/zzzFAKAMPc  #smallbiz #massage #calmare #branding #schenectady https://t.co/473AT45hdG",2020-05-28 16:00:01+00:00
112,Our model and goal. #LikeJesus #model #likeness #church #schenectady #hnjschenectady https://t.co/6jVc3eyYyn,2019-08-27 17:46:50+00:00
113,"God has placed children in our lives. Because He has, we are called to step up our example, to be the better self He calms us to be. #model #example #children #youth #Kurs #Convo #church #schenectady #hnjschenectady https://t.co/0XUFUtptnL",2019-08-11 19:49:59+00:00
114,"RT @Nito_LR: Blocking out all my haters
#selfie #selfies #funny #schenectady #upstateny #comedy #comedian #photography #fashion #model #act…",2019-07-20 00:49:24+00:00
115,"Blocking out all my haters
#selfie #selfies #funny #schenectady #upstateny #comedy #comedian #photography #fashion #model #actor #risingstar #meme #memes #comediansofinstagram #heatwave #CashAppFriday https://t.co/LePVixU9bx",2019-07-20 00:34:51+00:00
116,"Blocking out all the haters like
😎
➖➖➖➖➖➖➖➖➖➖➖➖
-
-
-
-
-
-
-
-
#selfie #selfies #me #money #sexy #picoftheday #work #PuertoRican #motivation #model #schenectady #risingstar #nito #nitolr #beautiful #feelingmyself… https://t.co/8gmyRwe4Tx",2019-07-18 18:44:02+00:00
117,"Drip drip 💧
📸 : @magentabliss 
➖➖➖➖➖➖➖➖➖➖➖ 
#selfie #selfies #me #money #schenectady #picoftheday #work #PuertoRican #motivation #model #moneymoves #risingstar #nito #nitolr #beautiful #feelingmyself #feelingood… https://t.co/Ovi3OWegJO",2019-07-08 23:28:51+00:00
